product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,average_price,price_gap,price_ratio,average_score,score_gap,average_freight,freight_gap
bed1,bed_bath_table,2017-05-01,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,116.94999999999999,-70.99999999999999,0.3929029499786234,4.1000000000000005,-0.10000000000000053,12.95729885,2.142701149999999
bed1,bed_bath_table,2017-06-01,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,114.94999999999999,-68.99999999999999,0.3997390169638974,4.1000000000000005,-0.10000000000000053,16.34151634,-3.4081830099999983
bed1,bed_bath_table,2017-07-01,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,113.61666666666666,-67.66666666666666,0.4044301012175444,4.1000000000000005,-0.10000000000000053,17.009921843333334,-2.1699218433333343
bed1,bed_bath_table,2017-08-01,4,183.8,14.2875,45.95,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,111.78660130000002,-65.83660130000001,0.41105105142864734,4.1000000000000005,-0.10000000000000053,16.11904712666667,-1.8315471266666687
bed1,bed_bath_table,2017-09-01,2,91.9,15.1,45.95,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,99.7495699,-53.799569899999995,0.4606536153094732,4.1000000000000005,-0.10000000000000053,19.40040308,-4.300403080000001
bed1,bed_bath_table,2017-10-01,3,137.85,15.1,45.95,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,60.6,-14.649999999999999,0.7582508250825083,3.966666666666667,0.033333333333333215,17.257380953333335,-2.1573809533333357
bed1,bed_bath_table,2017-11-01,11,445.85,15.83272727,40.53181818,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,56.98787878666667,-16.456060606666668,0.711235775799452,3.966666666666667,0.033333333333333215,15.986484846666668,-0.15375757666666878
bed1,bed_bath_table,2017-12-01,6,239.94,15.23,39.99,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,56.15607843000001,-16.166078430000006,0.7121223760282436,3.966666666666667,0.033333333333333215,16.452777776666668,-1.2227777766666676
bed1,bed_bath_table,2018-01-01,19,759.81,16.53368421,39.99,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,55.62666666666667,-15.63666666666667,0.7188998082454457,3.966666666666667,0.033333333333333215,17.48363261,-0.9499484000000002
bed1,bed_bath_table,2018-02-01,18,719.82,13.74944444,39.99,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,55.62666666666667,-15.63666666666667,0.7188998082454457,3.966666666666667,0.033333333333333215,15.569326596666665,-1.8198821566666652
